mag,time
15.585,55797.9261
15.427,55797.993
14.33,55798.85
14.36,55798.88
14.288,55798.8915
14.112,55799.0032
14.072,55799.06
14.051,55799.1318
13.98,55799.2094
13.816,55799.3995
13.72,55799.5382
13.51,55799.79
13.5,55799.81
13.311,55800.0673
13.321,55800.08
13.199,55800.2058
13.071,55800.3401
12.947,55800.612
12.922,55800.736
12.83,55800.79
12.83,55800.8
12.861,55800.8086
12.768,55800.8359
12.66,55801.08
12.32,55801.81
12.263,55801.8232
12.148,55802.06
11.83,55802.77
11.81,55802.81
11.723,55802.8184
11.688,55802.8244
11.69,55803.05
11.69,55803.06
11.309,55803.8158
11.307,55803.8165
11.45,55803.82
11.31,55804.06
10.88,55804.8058
10.983,55804.8196
10.937,55804.8638
10.83,55805.7818
10.79,55805.79
10.77,55805.8
10.8,55806.08
10.64,55806.77
10.58,55806.78
10.621,55806.7831
10.488,55806.8293
10.65,55806.83
10.45,55807.77
10.399,55807.7834
10.49,55807.86
10.346,55808.04
10.212,55808.7892
10.31,55808.81
10.36,55809.06
10.006,55810.7878
10.07,55810.81
10.049,55810.8228
10.17,55811.06
9.931,55812.7927
9.94,55813.7798
9.908,55813.7929
10.034,55814.03
9.916,55814.7803
9.893,55814.794
9.931,55814.8468
9.97,55814.86
9.981,55815.03
9.895,55815.7831
10.072,55816.03
10.05,55816.75
9.968,55816.7747
9.931,55816.8166
10.06,55817.08
10.03,55817.13
10.0,55817.74
10.09,55817.74
9.972,55817.7825
9.96,55817.7918
10.15,55818.74
10.081,55818.7864
10.023,55818.7999
10.14,55819.74
10.2,55819.74
10.068,55819.7812
10.05,55819.7833
10.171,55820.03
10.13,55820.04
10.24,55820.73
10.093,55820.7857
10.176,55820.8668
10.32,55821.7
10.198,55821.7663
10.227,55821.8217
10.326,55822.02
10.27,55822.03
10.4,55822.75
10.405,55823.03
10.389,55823.8077
10.55,55824.72
10.65,55824.72
10.465,55824.8297
10.623,55825.02
10.55,55825.04
10.613,55825.7573
10.567,55825.7935
10.675,55825.8029
10.649,55826.7701
10.829,55827.01
10.803,55827.7742
10.899,55828.7608
11.043,55829.01
11.11,55829.72
11.08,55829.74
11.048,55829.7588
11.048,55829.8184
11.167,55830.02
11.22,55830.72
11.17,55830.7531
11.158,55830.7628
11.36,55831.71
11.28,55831.7521
11.295,55831.7643
11.423,55832.01
11.42,55832.73
11.401,55832.7472
11.463,55832.7985
11.593,55833.7956
11.61,55834.72
11.701,55834.7442
11.71,55834.7954
11.678,55835.0784
11.763,55835.7431
11.76,55835.79
11.83,55835.7917
11.914,55836.7436
11.93,55837.02
11.929,55837.7484
12.072,55837.7928
12.15,55838.7379
12.166,55838.7934
12.228,55839.03
12.232,55839.7439
12.264,55839.7855
12.312,55840.0
12.309,55840.732
12.407,55841.0
